x_nodes,h_total,u,T_total,T,p_total,p,dp_total,rho_total,rho,c,eta,Lambda,v,Re,Ma
-2.4115,1144336.435252339,703636.9744183247,96.8,96.6406186112683,13370477.639877127,13309778.096031457,5.299494930316386,30.39581920817185,30.339850021330115,1023.1584995991099,5.593868468021392e-06,0.010854836665567554,62.14475784782911,10111764.211977907,0.06073815334787175
-2.41125,1144336.435252339,703637.0221154843,96.8,96.64061847261021,13370472.340382198,13309772.774022466,5.299496583433638,30.395809656752284,30.339840438789356,1023.1583767607495,5.593867653152907e-06,0.010854836623216972,62.14477747564082,10111765.684976287,0.060738179823525466
-2.411,1144336.435252339,703637.0698126716,96.8,96.64061833395193,13370467.040885614,13309767.452011814,5.29949823655285,30.395800105327474,30.33983085624331,1023.1582539223577,5.59386683828419e-06,0.010854836580866379,62.144797103475746,10111767.157975515,0.06073820629921009
-2.41075,1144336.435252339,703637.1175098874,96.8,96.64061819529343,13370461.741387378,13309762.12999945,5.299499889674026,30.395790553897395,30.339821273691953,1023.1581310839332,5.59386602341523e-06,0.010854836538515772,62.14481673133394,10111768.63097561,0.06073823277492576
-2.4105,1144336.435252339,703637.1652071312,96.8,96.64061805663471,13370456.441887489,13309756.807985429,5.29950154279716,30.395781002462083,30.339811691135328,1023.1580082454766,5.59386520854604e-06,0.010854836496165152,62.144836359215326,10111770.10397655,0.06073825925067236
-2.41025,1144336.435252339,703637.2129044029,96.8,96.64061791797579,13370451.142385947,13309751.485969719,5.299503195922258,30.395771451021528,30.339802108573423,1023.1578854069875,5.593864393676614e-06,0.01085483645381452,62.14485598711994,10111771.576978346,0.06073828572644995
-2.41,1144336.435252339,703637.2606017027,96.8,96.64061777931666,13370445.84288275,13309746.163952326,5.299504849049318,30.395761899575696,30.3397925260062,1023.1577625684665,5.59386357880695e-06,0.010854836411463873,62.14487561504782,10111773.049981,0.060738312202258525
-2.4097500000000003,1144336.435252339,703637.3082990301,96.8,96.64061764065728,13370440.543377902,13309740.841933267,5.299506502178341,30.395752348124645,30.339782943433722,1023.1576397299137,5.593862763937054e-06,0.010854836369113219,62.14489524299889,10111774.522984505,0.06073833867809801
-2.4095,1144336.435252339,703637.3559963863,96.8,96.64061750199775,13370435.2438714,13309735.51991253,5.299508155309317,30.395742796668344,30.339773360855958,1023.1575168913287,5.593861949066925e-06,0.010854836326762544,62.14491487097317,10111775.995988859,0.06073836515396845
-2.40925,1144336.435252339,703637.4036937704,96.8,96.64061736333798,13370429.944363246,13309730.197890097,5.299509808442264,30.395733245206777,30.339763778272886,1023.1573940527112,5.593861134196556e-06,0.01085483628441186,62.14493449897073,10111777.468994077,0.06073839162986994
-2.4090000000000003,1144336.435252339,703637.4513911825,96.8,96.640617224678,13370424.644853437,13309724.875866,5.299511461577165,30.39572369373999,30.339754195684552,1023.1572712140619,5.593860319325954e-06,0.010854836242061162,62.14495412699146,10111778.942000145,0.06073841810580231
